"Authors","Author full names","Author(s) ID","Title","Year","Source title","DOI","Link","ISSN","ISBN","CODEN","PubMed ID","EID"
"Xu J.; Gao J.; Ni P.; Gerstein M.","Xu, Jinrui (36015754600); Gao, Jiahao (57208581720); Ni, Pengyu (57205712712); Gerstein, Mark (57206704324)","36015754600; 57208581720; 57205712712; 57206704324","Less-is-more: selecting transcription factor binding regions informative for motif inference","2024","Nucleic Acids Research","10.1093/nar/gkad1240","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186751788&doi=10.1093%2fnar%2fgkad1240&partnerID=40&md5=870ff6d4802b0e1092c27cb0bfde1d3d","03051048","","NARHA","38214231","2-s2.0-85186751788"
"Peña-Martínez E.G.; Pomales-Matos D.A.; Rivera-Madera A.; Messon-Bird J.L.; Medina-Feliciano J.G.; Sanabria-Alberto L.; Barreiro-Rosario A.C.; Rivera-Del Valle J.; Rodríguez-Ríos J.M.; Rodríguez-Martínez J.A.","Peña-Martínez, Edwin G. (58072128000); Pomales-Matos, Diego A. (58071641200); Rivera-Madera, Alejandro (58072128100); Messon-Bird, Jean L. (58653428500); Medina-Feliciano, Joshua G. (57221347877); Sanabria-Alberto, Leandro (58073132300); Barreiro-Rosario, Adriana C. (58653396000); Rivera-Del Valle, Jeancarlos (58741808000); Rodríguez-Ríos, Jessica M. (58072877000); Rodríguez-Martínez, José A. (56288931500)","58072128000; 58071641200; 58072128100; 58653428500; 57221347877; 58073132300; 58653396000; 58741808000; 58072877000; 56288931500","Prioritizing cardiovascular disease-associated variants altering NKX2-5 and TBX5 binding through an integrative computational approach","2023","Journal of Biological Chemistry","10.1016/j.jbc.2023.105423","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178500362&doi=10.1016%2fj.jbc.2023.105423&partnerID=40&md5=0aa06ab559b5d7a979736348cd59a18a","00219258","","JBCHA","37926287","2-s2.0-85178500362"
"Deng L.; Wu H.; Liu H.","Deng, Lei (35329533000); Wu, Hui (57216703528); Liu, Hui (57830424100)","35329533000; 57216703528; 57830424100","D2VCB: A Hybrid Deep Neural Network for the Prediction of in-vivo Protein-DNA Binding from Combined DNA Sequence","2019","Proceedings - 2019 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2019","10.1109/BIBM47256.2019.8983051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084331824&doi=10.1109%2fBIBM47256.2019.8983051&partnerID=40&md5=8486affa9ffa52717b9b0615e2cdd8b8","","978-172811867-3","","","2-s2.0-85084331824"
"Sivangi K.B.; Dasari C.M.; Amilpur S.; Bhukya R.","Sivangi, Kaushik Bhargav (57390664700); Dasari, Chandra Mohan (57217857652); Amilpur, Santhosh (57218865311); Bhukya, Raju (36967912700)","57390664700; 57217857652; 57218865311; 36967912700","NoAS-DS: Neural optimal architecture search for detection of diverse DNA signals","2022","Neural Networks","10.1016/j.neunet.2021.12.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121971026&doi=10.1016%2fj.neunet.2021.12.009&partnerID=40&md5=33e7d0523d2ce71fb0b540fab7a06630","08936080","","NNETE","34979461","2-s2.0-85121971026"
"Castilho R.M.; Castilho L.S.; Palomares B.H.; Squarize C.H.","Castilho, Rogerio M. (7005844372); Castilho, Leonard S. (59195592000); Palomares, Bruna H. (59196639200); Squarize, Cristiane H. (6506507066)","7005844372; 59195592000; 59196639200; 6506507066","Determinants of Chromatin Organization in Aging and Cancer—Emerging Opportunities for Epigenetic Therapies and AI Technology","2024","Genes","10.3390/genes15060710","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197140303&doi=10.3390%2fgenes15060710&partnerID=40&md5=d37dd217728b84566a075a80c35c687a","20734425","","","38927646","2-s2.0-85197140303"
"Abraham A.; Kayalvizhi R.; Mohideen H.S.; Thiyagaraj A.","Abraham, Asha (57209691250); Kayalvizhi, R. (57201345642); Mohideen, Habeeb Shaik (57219892637); Thiyagaraj, Anand (57201861834)","57209691250; 57201345642; 57219892637; 57201861834","Malignancy Transcriptome Analysis, Tools and Deep Learning Methodologies for Prediction of Diseases","2022","Proceedings - IEEE International Conference on Advances in Computing, Communication and Applied Informatics, ACCAI 2022","10.1109/ACCAI53970.2022.9752529","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128818869&doi=10.1109%2fACCAI53970.2022.9752529&partnerID=40&md5=beb5684aa8f21b2e7b136267512037c8","","978-166549529-5","","","2-s2.0-85128818869"
"Zitnik M.; Nguyen F.; Wang B.; Leskovec J.; Goldenberg A.; Hoffman M.M.","Zitnik, Marinka (55176740400); Nguyen, Francis (54984203900); Wang, Bo (57188672978); Leskovec, Jure (12241436100); Goldenberg, Anna (57209785076); Hoffman, Michael M. (57203496086)","55176740400; 54984203900; 57188672978; 12241436100; 57209785076; 57203496086","Machine learning for integrating data in biology and medicine: Principles, practice, and opportunities","2019","Information Fusion","10.1016/j.inffus.2018.09.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055032025&doi=10.1016%2fj.inffus.2018.09.012&partnerID=40&md5=1076e202c13aadd6f8cd4029cd6f7561","15662535","","","","2-s2.0-85055032025"
"Dey K.K.; van de Geijn B.; Kim S.S.; Hormozdiari F.; Kelley D.R.; Price A.L.","Dey, Kushal K. (55597696600); van de Geijn, Bryce (55482853700); Kim, Samuel Sungil (57208191591); Hormozdiari, Farhad (57209971734); Kelley, David R. (7202669205); Price, Alkes L. (57199322743)","55597696600; 55482853700; 57208191591; 57209971734; 7202669205; 57199322743","Evaluating the informativeness of deep learning annotations for human complex diseases","2020","Nature Communications","10.1038/s41467-020-18515-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091192927&doi=10.1038%2fs41467-020-18515-4&partnerID=40&md5=74f429915d5e029ce19877c6780522f0","20411723","","","32943643","2-s2.0-85091192927"
"Chumpitaz-Diaz L.; Samee M.A.H.; Pollard K.S.","Chumpitaz-Diaz, Luis (57240323100); Samee, Md. Abul Hassan (22036018400); Pollard, Katherine S. (35235175500)","57240323100; 22036018400; 35235175500","Systematic identification of non-canonical transcription factor motifs","2021","BMC Molecular and Cell Biology","10.1186/s12860-021-00382-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113926006&doi=10.1186%2fs12860-021-00382-6&partnerID=40&md5=5e1143b046bb43e2546db75cc09ee421","26618850","","","34465294","2-s2.0-85113926006"
"Liu J.; Viales R.R.; Khoueiry P.; Reddington J.P.; Girardot C.; Furlong E.E.M.; Robinson-Rechavi M.","Liu, Jialin (57201271505); Viales, Rebecca R. (56524605100); Khoueiry, Pierre (26325532400); Reddington, James P. (26536362000); Girardot, Charles (23477356200); Furlong, Eileen E.M. (8337102800); Robinson-Rechavi, Marc (6603739219)","57201271505; 56524605100; 26325532400; 26536362000; 23477356200; 8337102800; 6603739219","The hourglass model of evolutionary conservation during embryogenesis extends to developmental enhancers with signatures of positive selection","2021","Genome Research","10.1101/gr.275212.121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114437387&doi=10.1101%2fgr.275212.121&partnerID=40&md5=e9d995fa6486d3ad2ebdd0684eae462d","10889051","","GEREF","34266978","2-s2.0-85114437387"
"Anderson A.G.; Moyers B.A.; Loupe J.M.; Rodriguez-Nunez I.; Felker S.A.; Lawlor J.M.J.; Bunney W.E.; Bunney B.G.; Cartagena P.M.; Sequeira A.; Watson S.J.; Akil H.; Mendenhall E.M.; Cooper G.M.; Myers R.M.","Anderson, Ashlyn G. (57984735800); Moyers, Belle A. (58146787000); Loupe, Jacob M. (53363956200); Rodriguez-Nunez, Ivan (57210040291); Felker, Stephanie A. (57221346046); Lawlor, James M.J. (57202022492); Bunney, William E. (57202594768); Bunney, Blynn G. (57197777734); Cartagena, Preston M. (16425599200); Sequeira, Adolfo (7006133886); Watson, Stanley J. (57201973662); Akil, Huda (35451310700); Mendenhall, Eric M. (9741377300); Cooper, Gregory M. (57210550044); Myers, Richard M. (7403700738)","57984735800; 58146787000; 53363956200; 57210040291; 57221346046; 57202022492; 57202594768; 57197777734; 16425599200; 7006133886; 57201973662; 35451310700; 9741377300; 57210550044; 7403700738","Allele-specific transcription factor binding across human brain regions offers mechanistic insight into eQTLs","2024","Genome Research","10.1101/gr.278601.123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204679930&doi=10.1101%2fgr.278601.123&partnerID=40&md5=7487c87c7746d17ee802429a92945657","10889051","","GEREF","39152038","2-s2.0-85204679930"
"Liu Z.; Liu J.S.; Wei D.; Man R.; Jiang J.; Zhang B.; Li L.; Zhao Z.","Liu, Zhendong (55714750800); Liu, Jun S. (55886002200); Wei, Dongqing (7202909038); Man, Rongjun (58157099500); Jiang, Jiamin (59935621300); Zhang, Bofeng (56026241300); Li, Liping (59935754900); Zhao, Zhiyong (59196449300)","55714750800; 55886002200; 7202909038; 58157099500; 59935621300; 56026241300; 59935754900; 59196449300","OptimDase: An Algorithm for Predicting DNA Binding Sites with Combined Feature Encoding","2025","Interdisciplinary Sciences - Computational Life Sciences","10.1007/s12539-025-00704-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007631746&doi=10.1007%2fs12539-025-00704-8&partnerID=40&md5=33cdadbdf3d8fb27ce42cb80e25512d2","19132751","","","","2-s2.0-105007631746"
"Zhang S.; Ma A.; Zhao J.; Xu D.; Ma Q.; Wang Y.","Zhang, Shuangquan (57211202943); Ma, Anjun (57201117266); Zhao, Jing (57204278764); Xu, Dong (7404074295); Ma, Qin (36843466800); Wang, Yan (56431257100)","57211202943; 57201117266; 57204278764; 7404074295; 36843466800; 56431257100","Assessing deep learning methods in cis-regulatory motif finding based on genomic sequencing data","2022","Briefings in Bioinformatics","10.1093/bib/bbab374","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123814251&doi=10.1093%2fbib%2fbbab374&partnerID=40&md5=a62431c20ed7d5694cb2314819c2bcab","14675463","","","34607350","2-s2.0-85123814251"
"Ramamurthy E.; Agarwal S.; Toong N.; Sestili H.; Kaplow I.M.; Chen Z.; Phan B.; Pfenning A.R.","Ramamurthy, Easwaran (57221317442); Agarwal, Snigdha (59302681400); Toong, Noelle (57220970118); Sestili, Heather (58484146500); Kaplow, Irene M. (26640499900); Chen, Ziheng (58161856600); Phan, BaDoi (57156154500); Pfenning, Andreas R. (36096904700)","57221317442; 59302681400; 57220970118; 58484146500; 26640499900; 58161856600; 57156154500; 36096904700","Regression convolutional neural network models implicate peripheral immune regulatory variants in the predisposition to Alzheimer's disease","2024","PLoS Computational Biology","10.1371/journal.pcbi.1012356","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202432705&doi=10.1371%2fjournal.pcbi.1012356&partnerID=40&md5=14a86dd6afc3a386e29b665f1210a232","1553734X","","","39186798","2-s2.0-85202432705"
"Zhang Q.; Shen Z.; Huang D.-S.","Zhang, Qinhu (55994732000); Shen, Zhen (57195395856); Huang, De-Shuang (13310398900)","55994732000; 57195395856; 13310398900","Modeling in-vivo protein-DNA binding by combining multiple-instance learning with a hybrid deep neural network","2019","Scientific Reports","10.1038/s41598-019-44966-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067239406&doi=10.1038%2fs41598-019-44966-x&partnerID=40&md5=b7881ad3473e1ac6f8832d1839cb7f7a","20452322","","","31186519","2-s2.0-85067239406"
"Zhang Y.; Liu Y.; Wang Z.; Wang M.; Xiong S.; Zou Q.","Zhang, Yongqing (34871194100); Liu, Yuhang (57362834400); Wang, Zixuan (57222120207); Wang, Maocheng (57434328800); Xiong, Shuwen (57434292100); Zou, Quan (23391564900)","34871194100; 57362834400; 57222120207; 57434328800; 57434292100; 23391564900","Predicting cell type-specific effects of variants on TF-DNA binding by meta-learning","2022","Proceedings - 2022 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2022","10.1109/BIBM55620.2022.9995698","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146711079&doi=10.1109%2fBIBM55620.2022.9995698&partnerID=40&md5=385d07cbc8fe20d05542663a018bffda","","978-166546819-0","","","2-s2.0-85146711079"
"Zheng A.; Shen Z.; Glass C.K.; Gymrek M.","Zheng, An (57219794153); Shen, Zeyang (57205556485); Glass, Christopher K (7102657746); Gymrek, Melissa (35183061200)","57219794153; 57205556485; 7102657746; 35183061200","Deep learning predicts the impact of regulatory variants on cell-type-specific enhancers in the brain","2023","Bioinformatics Advances","10.1093/bioadv/vbad002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159223600&doi=10.1093%2fbioadv%2fvbad002&partnerID=40&md5=a1febfb0982375196d05240c0a6df86f","26350041","","","","2-s2.0-85159223600"
"Shigaki D.; Adato O.; Adhikari A.N.; Dong S.; Hawkins-Hooker A.; Inoue F.; Juven-Gershon T.; Kenlay H.; Martin B.; Patra A.; Penzar D.D.; Schubach M.; Xiong C.; Yan Z.; Boyle A.P.; Kreimer A.; Kulakovskiy I.V.; Reid J.; Unger R.; Yosef N.; Shendure J.; Ahituv N.; Kircher M.; Beer M.A.","Shigaki, Dustin (57211010107); Adato, Orit (56940947500); Adhikari, Aashish N. (54792669300); Dong, Shengcheng (57211009819); Hawkins-Hooker, Alex (57211010193); Inoue, Fumitaka (14421282600); Juven-Gershon, Tamar (6507010327); Kenlay, Henry (57211010002); Martin, Beth (55467615600); Patra, Ayoti (57211009870); Penzar, Dmitry D. (57200541433); Schubach, Max (35330927500); Xiong, Chenling (59049415400); Yan, Zhongxia (57211010085); Boyle, Alan P. (23479165400); Kreimer, Anat (24332111500); Kulakovskiy, Ivan V. (34771699500); Reid, John (55448125500); Unger, Ron (7202736674); Yosef, Nir (14319421400); Shendure, Jay (6602548264); Ahituv, Nadav (8510545900); Kircher, Martin (55644763700); Beer, Michael A. (7101885059)","57211010107; 56940947500; 54792669300; 57211009819; 57211010193; 14421282600; 6507010327; 57211010002; 55467615600; 57211009870; 57200541433; 35330927500; 59049415400; 57211010085; 23479165400; 24332111500; 34771699500; 55448125500; 7202736674; 14319421400; 6602548264; 8510545900; 55644763700; 7101885059","Integration of multiple epigenomic marks improves prediction of variant impact in saturation mutagenesis reporter assay","2019","Human Mutation","10.1002/humu.23797","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071290740&doi=10.1002%2fhumu.23797&partnerID=40&md5=5e2f86a8a95a79e6c62ccea343fc23d3","10597794","","HUMUE","31106481","2-s2.0-85071290740"
"Amerifar S.; Norouzi M.; Ghandi M.","Amerifar, Sare (57189038914); Norouzi, Mahammad (57711930900); Ghandi, Mahmoud (54412130000)","57189038914; 57711930900; 54412130000","A tool for feature extraction from biological sequences","2022","Briefings in Bioinformatics","10.1093/bib/bbac108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130767602&doi=10.1093%2fbib%2fbbac108&partnerID=40&md5=ba185bfba8205ead6fb5045f6f715a94","14675463","","","35383372","2-s2.0-85130767602"
"He H.; Bell S.M.; Davis A.K.; Zhao S.; Sridharan A.; Na C.-L.; Guo M.; Xu Y.; Snowball J.; Swarr D.T.; Zacharias W.J.; Whitsett J.A.","He, Hua (57559509900); Bell, Sheila M. (7401588034); Davis, Ashley Kuenzi (56707960700); Zhao, Shuyang (57221266141); Sridharan, Anusha (55387628500); Na, Cheng-Lun (7003995871); Guo, Minzhe (35113278100); Xu, Yan (57203023722); Snowball, John (55673430200); Swarr, Daniel T. (6508100138); Zacharias, William J. (57198277511); Whitsett, Jeffrey A. (57204642359)","57559509900; 7401588034; 56707960700; 57221266141; 55387628500; 7003995871; 35113278100; 57203023722; 55673430200; 6508100138; 57198277511; 57204642359","PRDM3/16 regulate chromatin accessibility required for NKX2-1 mediated alveolar epithelial differentiation and function","2024","Nature Communications ","10.1038/s41467-024-52154-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204246934&doi=10.1038%2fs41467-024-52154-3&partnerID=40&md5=f581fc1746dc04906e9916aec8026e04","20411723","","","39284798","2-s2.0-85204246934"
"Wang Z.; Gong M.; Liu Y.; Xiong S.; Wang M.; Zhou J.; Zhang Y.","Wang, Zixuan (57222120207); Gong, Meiqin (57220954138); Liu, Yuhang (57362834400); Xiong, Shuwen (57434292100); Wang, Maocheng (57434328800); Zhou, Jiliu (21234416400); Zhang, Yongqing (34871194100)","57222120207; 57220954138; 57362834400; 57434292100; 57434328800; 21234416400; 34871194100","Towards a better understanding of TF-DNA binding prediction from genomic features","2022","Computers in Biology and Medicine","10.1016/j.compbiomed.2022.105993","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137088945&doi=10.1016%2fj.compbiomed.2022.105993&partnerID=40&md5=d32e3ca9cec08d389b1e9df3a53a01c6","00104825","","CBMDA","36057196","2-s2.0-85137088945"
"Sajek M.P.; Bilodeau D.Y.; Beer M.A.; Horton E.; Miyamoto Y.; Velle K.B.; Eckmann L.; Fritz-Laylin L.; Rissland O.S.; Mukherjee N.","Sajek, Marcin P. (26221891700); Bilodeau, Danielle Y. (57218092987); Beer, Michael A. (7101885059); Horton, Emma (58764579600); Miyamoto, Yukiko (55652707200); Velle, Katrina B. (57063126300); Eckmann, Lars (7005443538); Fritz-Laylin, Lillian (8977694600); Rissland, Olivia S. (16305274700); Mukherjee, Neelanjan (36608810900)","26221891700; 57218092987; 7101885059; 58764579600; 55652707200; 57063126300; 7005443538; 8977694600; 16305274700; 36608810900","Evolutionary dynamics of polyadenylation signals and their recognition strategies in protists","2024","Genome Research","10.1101/gr.279526.124","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208204564&doi=10.1101%2fgr.279526.124&partnerID=40&md5=099794f86a33957b434f96d454568c16","10889051","","GEREF","39327029","2-s2.0-85208204564"
