"Authors","Author full names","Author(s) ID","Title","Year","Source title","DOI","Link","ISSN","ISBN","CODEN","PubMed ID","EID"
"Akbari Rokn Abadi S.; Tabatabaei S.F.; Koohi S.","Akbari Rokn Abadi, Saeedeh (57208691705); Tabatabaei, SeyedehFatemeh (58652069800); Koohi, Somayyeh (24473393100)","57208691705; 58652069800; 24473393100","KDeep: a new memory-efficient data extraction method for accurately predicting DNA/RNA transcription factor binding sites","2023","Journal of Translational Medicine","10.1186/s12967-023-04593-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174242058&doi=10.1186%2fs12967-023-04593-7&partnerID=40&md5=2c9f66a8b9f62fedac0277f376d97b94","14795876","","","37845681","2-s2.0-85174242058"
"Sivangi K.B.; Dasari C.M.; Amilpur S.; Bhukya R.","Sivangi, Kaushik Bhargav (57390664700); Dasari, Chandra Mohan (57217857652); Amilpur, Santhosh (57218865311); Bhukya, Raju (36967912700)","57390664700; 57217857652; 57218865311; 36967912700","NoAS-DS: Neural optimal architecture search for detection of diverse DNA signals","2022","Neural Networks","10.1016/j.neunet.2021.12.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121971026&doi=10.1016%2fj.neunet.2021.12.009&partnerID=40&md5=33e7d0523d2ce71fb0b540fab7a06630","08936080","","NNETE","34979461","2-s2.0-85121971026"
"Pan Z.; Zhou S.; Zou H.; Liu C.; Zang M.; Liu T.; Wang Q.","Pan, Zhengsen (57666641600); Zhou, Shusen (36189232700); Zou, Hailin (27868241600); Liu, Chanjuan (43461231600); Zang, Mujun (53364663100); Liu, Tong (58603478500); Wang, Qingjun (57071880500)","57666641600; 36189232700; 27868241600; 43461231600; 53364663100; 58603478500; 57071880500","MCNN: Multiple Convolutional Neural Networks for RNA-Protein Binding Sites Prediction","2023","IEEE/ACM Transactions on Computational Biology and Bioinformatics","10.1109/TCBB.2022.3170367","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129397227&doi=10.1109%2fTCBB.2022.3170367&partnerID=40&md5=d8487ca01826faa6b46a6044bda6ca08","15455963","","","35471886","2-s2.0-85129397227"
"Pan Z.; Zhou S.; Liu T.; Liu C.; Zang M.; Wang Q.","Pan, Zhengsen (57666641600); Zhou, Shusen (36189232700); Liu, Tong (58603478500); Liu, Chanjuan (43461231600); Zang, Mujun (53364663100); Wang, Qingjun (57071880500)","57666641600; 36189232700; 58603478500; 43461231600; 53364663100; 57071880500","WVDL: Weighted Voting Deep Learning Model for Predicting RNA-Protein Binding Sites","2023","IEEE/ACM Transactions on Computational Biology and Bioinformatics","10.1109/TCBB.2023.3252276","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149448066&doi=10.1109%2fTCBB.2023.3252276&partnerID=40&md5=b4557053fd5975992c958851847eee89","15455963","","","37028092","2-s2.0-85149448066"
"Rennie S.","Rennie, Sarah (56095390000)","56095390000","Deep Learning for Elucidating Modifications to RNA—Status and Challenges Ahead","2024","Genes","10.3390/genes15050629","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194219032&doi=10.3390%2fgenes15050629&partnerID=40&md5=fadd2eaffd6d514df8185b33cb6bc21b","20734425","","","38790258","2-s2.0-85194219032"
"Dong S.; Wang S.","Dong, Shiqi (57329591400); Wang, Shunfang (9239968600)","57329591400; 9239968600","Assembled graph neural network using graph transformer with edges for protein model quality assessment","2022","Journal of Molecular Graphics and Modelling","10.1016/j.jmgm.2021.108053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118878925&doi=10.1016%2fj.jmgm.2021.108053&partnerID=40&md5=5f6d692870f42f5f604497f978584f16","10933263","","JMGMF","34773871","2-s2.0-85118878925"
"Backofen R.; Gorodkin J.; Hofacker I.L.; Stadler P.F.","Backofen, Rolf (6604065270); Gorodkin, Jan (8855949700); Hofacker, Ivo L. (7004324809); Stadler, Peter F. (7102702401)","6604065270; 8855949700; 7004324809; 7102702401","Comparative RNA Genomics","2024","Methods in Molecular Biology","10.1007/978-1-0716-3838-5_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195013005&doi=10.1007%2f978-1-0716-3838-5_12&partnerID=40&md5=b7aaa9ab31dd027b8f24e5bbd173c6f6","10643745","","","38819565","2-s2.0-85195013005"
"Busa V.F.; Favorov A.V.; Fertig E.J.; Leung A.K.L.","Busa, Veronica F. (57195034179); Favorov, Alexander V. (12789052200); Fertig, Elana J. (15768654400); Leung, Anthony K.L. (7403012669)","57195034179; 12789052200; 15768654400; 7403012669","Spatial correlation statistics enable transcriptome-wide characterization of RNA structure binding","2021","Cell Reports Methods","10.1016/j.crmeth.2021.100088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126569461&doi=10.1016%2fj.crmeth.2021.100088&partnerID=40&md5=49547ca35886bd17f61359a5bda55a00","26672375","","","35474897","2-s2.0-85126569461"
"Horlacher M.; Cantini G.; Hesse J.; Schinke P.; Goedert N.; Londhe S.; Moyon L.; Marsico A.","Horlacher, Marc (57420894200); Cantini, Giulia (58176942600); Hesse, Julian (58177365300); Schinke, Patrick (58088647300); Goedert, Nicolas (57947381500); Londhe, Shubhankar (58177153000); Moyon, Lambert (57222307284); Marsico, Annalisa (15045028100)","57420894200; 58176942600; 58177365300; 58088647300; 57947381500; 58177153000; 57222307284; 15045028100","A systematic benchmark of machine learning methods for protein-RNA interaction prediction","2023","Briefings in Bioinformatics","10.1093/bib/bbad307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172423930&doi=10.1093%2fbib%2fbbad307&partnerID=40&md5=351e106e710b69994705f7400b9c7334","14675463","","","37635383","2-s2.0-85172423930"
"Shen Z.; Zhang Q.; Han K.; Huang D.-S.","Shen, Zhen (57195395856); Zhang, Qinhu (55994732000); Han, Kyungsook (57209546209); Huang, De-Shuang (57226227063)","57195395856; 55994732000; 57209546209; 57226227063","A Deep Learning Model for RNA-Protein Binding Preference Prediction Based on Hierarchical LSTM and Attention Network","2022","IEEE/ACM Transactions on Computational Biology and Bioinformatics","10.1109/TCBB.2020.3007544","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128150435&doi=10.1109%2fTCBB.2020.3007544&partnerID=40&md5=36c0840a2e6276c10a0865d4aad513f4","15455963","","","32750884","2-s2.0-85128150435"
