"Authors","Author full names","Author(s) ID","Title","Year","Source title","DOI","Link","ISSN","ISBN","CODEN","PubMed ID","EID"
"Lukassen S.; Ten F.W.; Adam L.; Eils R.; Conrad C.","Lukassen, Soeren (57193210891); Ten, Foo Wei (57219789499); Adam, Lukas (57217039039); Eils, Roland (7003976942); Conrad, Christian (57210716397)","57193210891; 57219789499; 57217039039; 7003976942; 57210716397","Gene set inference from single-cell sequencing data using a hybrid of matrix factorization and variational autoencoders","2020","Nature Machine Intelligence","10.1038/s42256-020-00269-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097236028&doi=10.1038%2fs42256-020-00269-9&partnerID=40&md5=6f2bb45d43b506c03f2e596805b4dfd3","25225839","","","","2-s2.0-85097236028"
"Franks J.L.; Martinez-Chacin R.C.; Wang X.; Tiedemann R.L.; Bonacci T.; Choudhury R.; Bolhuis D.L.; Enrico T.P.; Mouery R.D.; Damrauer J.S.; Yan F.; Harrison J.S.; Major M.B.; Hoadley K.A.; Suzuki A.; Rothbart S.B.; Brown N.G.; Emanuele M.J.","Franks, Jennifer L. (57220811970); Martinez-Chacin, Raquel C. (56349971000); Wang, Xianxi (57194558850); Tiedemann, Rochelle L. (55994381400); Bonacci, Thomas (36717290700); Choudhury, Rajarshi (56216449900); Bolhuis, Derek L. (57210752965); Enrico, Taylor P. (57201417286); Mouery, Ryan D. (57217048011); Damrauer, Jeffrey S. (6504627049); Yan, Feng (56834991600); Harrison, Joseph S. (55471535700); Major, M. Ben (16492242800); Hoadley, Katherine A. (57194640516); Suzuki, Aussie (25823997600); Rothbart, Scott B. (27467726600); Brown, Nicholas G. (57210753334); Emanuele, Michael J. (8908752300)","57220811970; 56349971000; 57194558850; 55994381400; 36717290700; 56216449900; 57210752965; 57201417286; 57217048011; 6504627049; 56834991600; 55471535700; 16492242800; 57194640516; 25823997600; 27467726600; 57210753334; 8908752300","In silico APC/C substrate discovery reveals cell cycle-dependent degradation of UHRF1 and other chromatin regulators","2020","PLoS Biology","10.1371/journal.pbio.3000975","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097678650&doi=10.1371%2fjournal.pbio.3000975&partnerID=40&md5=06a3153795a2480d79bc582c091e2aff","15449173","","PBLIB","33306668","2-s2.0-85097678650"
"Mori K.; Ozaki H.; Fukunaga T.","Mori, Koichi (57221319358); Ozaki, Haruka (56127597000); Fukunaga, Tsukasa (55843768300)","57221319358; 56127597000; 55843768300","MotiMul: A significant discriminative sequence motif discovery algorithm with multiple testing correction","2020","Proceedings - 2020 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2020","10.1109/BIBM49941.2020.9313598","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100341040&doi=10.1109%2fBIBM49941.2020.9313598&partnerID=40&md5=7ab5c295ac577e060e1e63c1ecb0788f","","978-172816215-7","","","2-s2.0-85100341040"
"Arao Y.; Hamilton K.J.; Grimm S.A.; Korach K.S.","Arao, Yukitomo (7003490232); Hamilton, Katherine J. (13003025700); Grimm, Sara A. (55967965900); Korach, Kenneth S. (7102134124)","7003490232; 13003025700; 55967965900; 7102134124","The genomic regulatory elements for estrogen receptor alpha transactivation-function-1 regulated genes","2020","FASEB Journal","10.1096/fj.202001435R","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092595084&doi=10.1096%2ffj.202001435R&partnerID=40&md5=034bba174562fa04be806291607bdaef","08926638","","FAJOE","33064339","2-s2.0-85092595084"
"Hall A.W.; Chaffin M.; Roselli C.; Lin H.; Lubitz S.A.; Bianchi V.; Geeven G.; Bedi K.; Margulies K.B.; De Laat W.; Tucker N.R.; Ellinor P.T.","Hall, Amelia Weber (55353054500); Chaffin, Mark (57194529914); Roselli, Carolina (57191440168); Lin, Honghuang (57213789351); Lubitz, Steven A. (57212867440); Bianchi, Valerio (55334852200); Geeven, Geert (8673702200); Bedi, Kenneth (57189896924); Margulies, Kenneth B. (7005687184); De Laat, Wouter (6701823489); Tucker, Nathan R. (56016545100); Ellinor, Patrick T. (57217826180)","55353054500; 57194529914; 57191440168; 57213789351; 57212867440; 55334852200; 8673702200; 57189896924; 7005687184; 6701823489; 56016545100; 57217826180","Epigenetic Analyses of Human Left Atrial Tissue Identifies Gene Networks Underlying Atrial Fibrillation","2020","Circulation: Genomic and Precision Medicine","10.1161/CIRCGEN.120.003085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097955677&doi=10.1161%2fCIRCGEN.120.003085&partnerID=40&md5=56fc56b738fc81de667c39e1ffcb4cb6","25748300","","","33155827","2-s2.0-85097955677"
"Tchurikov N.A.; Klushevskaya E.S.; Fedoseeva D.M.; Alembekov I.R.; Kravatskaya G.I.; Chechetkin V.R.; Kravatsky Y.V.; Kretova O.V.","Tchurikov, Nickolai A. (7003961217); Klushevskaya, Elena S. (57216586630); Fedoseeva, Daria M. (37070466000); Alembekov, Ildar R. (26532335500); Kravatskaya, Galina I. (6506430810); Chechetkin, Vladimir R. (7006511150); Kravatsky, Yuri V. (6505630252); Kretova, Olga V. (6602840619)","7003961217; 57216586630; 37070466000; 26532335500; 6506430810; 7006511150; 6505630252; 6602840619","Dynamics of whole-genome contacts of nucleoli in drosophila cells suggests a role for rdna genes in global epigenetic regulation","2020","Cells","10.3390/cells9122587","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097482181&doi=10.3390%2fcells9122587&partnerID=40&md5=cb3114b3b35e7583a14a390320408809","20734409","","","33287227","2-s2.0-85097482181"
"Wang G.; Chow R.D.; Zhu L.; Bai Z.; Ye L.; Zhang F.; Renauer P.A.; Dong M.B.; Dai X.; Zhang X.; Du Y.; Cheng Y.; Niu L.; Chu Z.; Kim K.; Liao C.; Clark P.; Errami Y.; Chen S.","Wang, Guangchuan (57208577440); Chow, Ryan D. (57195906216); Zhu, Lvyun (57204119192); Bai, Zhigang (56447859100); Ye, Lupeng (55249565200); Zhang, Feifei (57221809364); Renauer, Paul A. (56410847100); Dong, Matthew B. (57195905308); Dai, Xiaoyun (55466347800); Zhang, Xiaoya (57211478546); Du, Yaying (57195920064); Cheng, Yujing (57221803453); Niu, Leilei (57189644617); Chu, Zhiyuan (57221809376); Kim, Kristin (57221805702); Liao, Cun (26021336600); Clark, Paul (7402579506); Errami, Youssef (55506331400); Chen, Sidi (24342869100)","57208577440; 57195906216; 57204119192; 56447859100; 55249565200; 57221809364; 56410847100; 57195905308; 55466347800; 57211478546; 57195920064; 57221803453; 57189644617; 57221809376; 57221805702; 26021336600; 7402579506; 55506331400; 24342869100","Crispr-gemm pooled mutagenic screening identifies kmt2d as a major modulator of immune checkpoint blockade","2020","Cancer Discovery","10.1158/2159-8290.CD-19-1448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100256097&doi=10.1158%2f2159-8290.CD-19-1448&partnerID=40&md5=2df7441fc9ad9c358831007efbfe470d","21598274","","","32887696","2-s2.0-85100256097"
"Yucel N.; Axsom J.; Yang Y.; Li L.; Rhoades J.H.; Arany Z.","Yucel, Nora (57194651729); Axsom, Jessie (57211941256); Yang, Yifan (57253468400); Li, Li (59800639300); Rhoades, Joshua H. (57194502568); Arany, Zoltan (6602384058)","57194651729; 57211941256; 57253468400; 59800639300; 57194502568; 6602384058","Cardiac endothelial cells maintain open chromatin and expression of cardiomyocyte myofibrillar genes","2020","eLife","10.7554/ELIFE.55730","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099113711&doi=10.7554%2fELIFE.55730&partnerID=40&md5=89d275171eae034ad430e63d56c77f08","2050084X","","","33315013","2-s2.0-85099113711"
"Wilson C.; Chen P.J.; Miao Z.; Liu D.R.","Wilson, Christopher (57210582371); Chen, Peter J. (57211854461); Miao, Zhuang (57217294804); Liu, David R. (37053246400)","57210582371; 57211854461; 57217294804; 37053246400","Programmable m6A modification of cellular RNAs with a Cas13-directed methyltransferase","2020","Nature Biotechnology","10.1038/s41587-020-0572-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087017606&doi=10.1038%2fs41587-020-0572-6&partnerID=40&md5=deaa229049eb32072e20761cfec64d4d","10870156","","NABIF","32601430","2-s2.0-85087017606"
"Eray A.; Güneri P.Y.; Yılmaz G.Ö.; Karakülah G.; Erkek-Ozhan S.","Eray, Aleyna (57219671627); Güneri, Perihan Yağmur (57219662732); Yılmaz, Gülden Özden (57219666982); Karakülah, Gökhan (36637710700); Erkek-Ozhan, Serap (36019968700)","57219671627; 57219662732; 57219666982; 36637710700; 36019968700","Analysis of open chromatin regions in bladder cancer links β-catenin mutations and Wnt signaling with neuronal subtype of bladder cancer","2020","Scientific Reports","10.1038/s41598-020-75688-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094631457&doi=10.1038%2fs41598-020-75688-0&partnerID=40&md5=ce76607c1a4233a67e076fe3e87ba24b","20452322","","","33122695","2-s2.0-85094631457"
