"Authors","Author full names","Author(s) ID","Title","Year","Source title","DOI","Link","ISSN","ISBN","CODEN","PubMed ID","EID"
"Peña-Martínez E.G.; Pomales-Matos D.A.; Rivera-Madera A.; Messon-Bird J.L.; Medina-Feliciano J.G.; Sanabria-Alberto L.; Barreiro-Rosario A.C.; Rivera-Del Valle J.; Rodríguez-Ríos J.M.; Rodríguez-Martínez J.A.","Peña-Martínez, Edwin G. (58072128000); Pomales-Matos, Diego A. (58071641200); Rivera-Madera, Alejandro (58072128100); Messon-Bird, Jean L. (58653428500); Medina-Feliciano, Joshua G. (57221347877); Sanabria-Alberto, Leandro (58073132300); Barreiro-Rosario, Adriana C. (58653396000); Rivera-Del Valle, Jeancarlos (58741808000); Rodríguez-Ríos, Jessica M. (58072877000); Rodríguez-Martínez, José A. (56288931500)","58072128000; 58071641200; 58072128100; 58653428500; 57221347877; 58073132300; 58653396000; 58741808000; 58072877000; 56288931500","Prioritizing cardiovascular disease-associated variants altering NKX2-5 and TBX5 binding through an integrative computational approach","2023","Journal of Biological Chemistry","10.1016/j.jbc.2023.105423","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178500362&doi=10.1016%2fj.jbc.2023.105423&partnerID=40&md5=0aa06ab559b5d7a979736348cd59a18a","00219258","","JBCHA","37926287","2-s2.0-85178500362"
"Feng P.; Xiao A.; Fang M.; Wan F.; Li S.; Lang P.; Zhao D.; Zeng J.","Feng, Peiyuan (56734094600); Xiao, An (57205140309); Fang, Meng (57221942129); Wan, Fangping (57205138684); Li, Shuya (57216081349); Lang, Peng (57221351050); Zhao, Dan (56673231400); Zeng, Jianyang (33468010200)","56734094600; 57205140309; 57221942129; 57205138684; 57216081349; 57221351050; 56673231400; 33468010200","A machine learning-based framework for modeling transcription elongation","2021","Proceedings of the National Academy of Sciences of the United States of America","10.1073/pnas.2007450118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100611926&doi=10.1073%2fpnas.2007450118&partnerID=40&md5=b0863ec1c4ab06fbbe267b1f7af29795","00278424","","PNASA","33526657","2-s2.0-85100611926"
"Le N.Q.K.; Yapp E.K.Y.; Ho Q.-T.; Nagasundaram N.; Ou Y.-Y.; Yeh H.-Y.","Le, Nguyen Quoc Khanh (57208281644); Yapp, Edward Kien Yee (55696875500); Ho, Quang-Thai (57194618797); Nagasundaram, N. (54983113500); Ou, Yu-Yen (35847309000); Yeh, Hui-Yuan (57207112031)","57208281644; 55696875500; 57194618797; 54983113500; 35847309000; 57207112031","iEnhancer-5Step: Identifying enhancers using hidden information of DNA sequences via Chou's 5-step rule and word embedding","2019","Analytical Biochemistry","10.1016/j.ab.2019.02.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062237812&doi=10.1016%2fj.ab.2019.02.017&partnerID=40&md5=899c9d5c92d46f35a2a064afbb711d56","00032697","","ANBCA","30822398","2-s2.0-85062237812"
"Cheng F.; Chen J.; Qiu J.; Zhang L.","Cheng, Fan (54884716900); Chen, Jiabin (57215003939); Qiu, Jianfeng (36618059400); Zhang, Lei (56451227300)","54884716900; 57215003939; 36618059400; 56451227300","A subregion division based multi-objective evolutionary algorithm for SVM training set selection","2020","Neurocomputing","10.1016/j.neucom.2020.02.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079606224&doi=10.1016%2fj.neucom.2020.02.028&partnerID=40&md5=3ca9666bf315a0ca4d476d8566e6fb4d","09252312","","NRCGE","","2-s2.0-85079606224"
"Shrikumar A.; Prakash E.; Kundaje A.","Shrikumar, Avanti (55353539500); Prakash, Eva (57209856738); Kundaje, Anshul (57207801534)","55353539500; 57209856738; 57207801534","GkmExplain: Fast and accurate interpretation of nonlinear gapped k-mer SVMs","2019","Bioinformatics","10.1093/bioinformatics/btz322","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068896383&doi=10.1093%2fbioinformatics%2fbtz322&partnerID=40&md5=8e2a2f91eb30d790973e1417cc6fe19a","13674803","","BOINF","31510661","2-s2.0-85068896383"
"Phuycharoen M.; Zarrineh P.; Bridoux L.; Amin S.; Losa M.; Chen K.; Bobola N.; Rattray M.","Phuycharoen, Mike (57215531218); Zarrineh, Peyman (37091845500); Bridoux, Laure (57191776089); Amin, Shilu (24342662700); Losa, Marta (56498750700); Chen, Ke (55683570400); Bobola, Nicoletta (6602420213); Rattray, Magnus (7005357184)","57215531218; 37091845500; 57191776089; 24342662700; 56498750700; 55683570400; 6602420213; 7005357184","Uncovering tissue-specific binding features from differential deep learning","2020","Nucleic Acids Research","10.1093/nar/gkaa009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081069949&doi=10.1093%2fnar%2fgkaa009&partnerID=40&md5=a66e34192d574b8882183da4434c7d9a","03051048","","NARHA","31974574","2-s2.0-85081069949"
"Oh J.W.; Beer M.A.","Oh, Jin Woo (58392363800); Beer, Michael A. (7101885059)","58392363800; 7101885059","Gapped-kmer sequence modeling robustly identifies regulatory vocabularies and distal enhancers conserved between evolutionarily distant mammals","2024","Nature Communications","10.1038/s41467-024-50708-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200310678&doi=10.1038%2fs41467-024-50708-z&partnerID=40&md5=66fef485e3d741effa769ecf782f1538","20411723","","","39085231","2-s2.0-85200310678"
"Jin C.; Wang X.; Yang J.; Kim S.; Hudgins A.D.; Gamliel A.; Pei M.; Contreras D.; Devos M.; Guo Q.; Vijg J.; Conti M.; Hoeijmakers J.; Campisi J.; Lobo R.; Williams Z.; Rosenfeld M.G.; Suh Y.","Jin, Chen (57776167900); Wang, Xizhe (57201949299); Yang, Jiping (59846969000); Kim, Seungsoo (58465429600); Hudgins, Adam D. (57200821927); Gamliel, Amir (8870306100); Pei, Mingzhuo (57775939100); Contreras, Daniela (57776624400); Devos, Melody (57210021240); Guo, Qinghua (58352090100); Vijg, Jan (7006875822); Conti, Marco (7202084716); Hoeijmakers, Jan (35430855700); Campisi, Judith (7006561197); Lobo, Rogerio (7201418964); Williams, Zev (6701736910); Rosenfeld, Michael G. (57207906977); Suh, Yousin (59783059500)","57776167900; 57201949299; 59846969000; 58465429600; 57200821927; 8870306100; 57775939100; 57776624400; 57210021240; 58352090100; 7006875822; 7202084716; 35430855700; 7006561197; 7201418964; 6701736910; 57207906977; 59783059500","Molecular and genetic insights into human ovarian aging from single-nuclei multi-omics analyses","2025","Nature Aging","10.1038/s43587-024-00762-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210027857&doi=10.1038%2fs43587-024-00762-5&partnerID=40&md5=1e62d382ade806a3bf10dd72b902627d","26628465","","","","2-s2.0-85210027857"
"Cao Z.; Zhang S.","Cao, Zhen (57191221250); Zhang, Shihua (35590912000)","57191221250; 35590912000","Simple tricks of convolutional neural network architectures improve DNA-protein binding prediction","2019","Bioinformatics","10.1093/bioinformatics/bty893","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067204791&doi=10.1093%2fbioinformatics%2fbty893&partnerID=40&md5=5be927811748abfc84eeb069c483773a","13674803","","BOINF","30351403","2-s2.0-85067204791"
"Yaacov O.; Mathiyalagan P.; Berk-Rauch H.E.; Ganesh S.K.; Zhu L.; Hoffmann T.J.; Iribarren C.; Risch N.; Lee D.; Chakravarti A.","Yaacov, Or (57211160246); Mathiyalagan, Prabhu (36010738600); Berk-Rauch, Hanna E. (57194336632); Ganesh, Santhi K. (57207749619); Zhu, Luke (58596240100); Hoffmann, Thomas J. (55557672300); Iribarren, Carlos (21737208500); Risch, Neil (57226260399); Lee, Dongwon (55698921700); Chakravarti, Aravinda (56916643700)","57211160246; 36010738600; 57194336632; 57207749619; 58596240100; 55557672300; 21737208500; 57226260399; 55698921700; 56916643700","Identification of the Molecular Components of Enhancer-Mediated Gene Expression Variation in Multiple Tissues Regulating Blood Pressure","2024","Hypertension","10.1161/HYPERTENSIONAHA.123.22538","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196130361&doi=10.1161%2fHYPERTENSIONAHA.123.22538&partnerID=40&md5=d4ae0eecba4d6852d5e9b4a58ed1ae33","0194911X","","HPRTD","38747164","2-s2.0-85196130361"
