"Authors","Author full names","Author(s) ID","Title","Year","Source title","DOI","Link","ISSN","ISBN","CODEN","PubMed ID","EID"
"Liang J.; Fu M.","Liang, Jiahao (57895861600); Fu, Minghui (56621431200)","57895861600; 56621431200","Mining and Analysis of Terpene Synthase Genes in Cinnamomum Plants","2025","Tropical Plant Biology","10.1007/s12042-025-09420-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003190554&doi=10.1007%2fs12042-025-09420-5&partnerID=40&md5=754bbfc0c0c4efb3dd17db0b35d8872d","19359756","","","","2-s2.0-105003190554"
"Wang Q.; Meng L.; Qu Z.; Su H.; Tao J.; Lu P.; Hua C.; Wang J.; Zhang J.; Cao P.; Jin J.","Wang, Qiao (59502265400); Meng, Lijun (57193420563); Qu, Zechao (58701482400); Su, Huan (58700933400); Tao, Jiemeng (57190668394); Lu, Peng (57188991051); Hua, Chenfeng (57210143384); Wang, Jinbang (57203244627); Zhang, Jianfeng (56600928800); Cao, Peijian (24758092300); Jin, Jingjing (52463853700)","59502265400; 57193420563; 58701482400; 58700933400; 57190668394; 57188991051; 57210143384; 57203244627; 56600928800; 24758092300; 52463853700","Genome-wide analysis of DnaJA proteins in Nicotiana tabacum reveals NtDnaJA3 responses to drought stress","2025","Chemical and Biological Technologies in Agriculture","10.1186/s40538-024-00726-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214198307&doi=10.1186%2fs40538-024-00726-2&partnerID=40&md5=d0513c5efa2459c80a9632e7da332a16","21965641","","","","2-s2.0-85214198307"
"Dong F.; Liu Y.; Zhang H.; Li Y.; Song J.; Chen S.; Wang S.; Zhu Z.; Li Y.; Liu Y.","Dong, Feiyan (57854989600); Liu, Yide (59527188900); Zhang, Huadong (57855191800); Li, Yaqian (57214961843); Song, Jinghan (57208237212); Chen, Sheng (59528062700); Wang, Shuailei (59877051400); Zhu, Zhanwang (56197907100); Li, Yan (58747365700); Liu, Yike (57204077736)","57854989600; 59527188900; 57855191800; 57214961843; 57208237212; 59528062700; 59877051400; 56197907100; 58747365700; 57204077736","TaSnRK3.23B, a CBL-interacting protein kinase of wheat, confers drought stress tolerance by promoting ROS scavenging in Arabidopsis","2025","BMC Plant Biology","10.1186/s12870-025-06091-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215952691&doi=10.1186%2fs12870-025-06091-y&partnerID=40&md5=8ff30e50cfe6efb7d60b7f4f8c2835ce","14712229","","","39815173","2-s2.0-85215952691"
"Lane K.A.; Harrod A.; Wu L.; Roumeliotis T.I.; Feng H.; Foo S.; Begg K.A.G.; Schiavoni F.; Amin N.; Zenke F.T.; Melcher A.A.; Choudhary J.S.; Downs J.A.","Lane, Karen A. (57208678943); Harrod, Alison (56891411300); Wu, Lillian (57414976600); Roumeliotis, Theodoros I. (25121911600); Feng, Hugang (57195294950); Foo, Shane (55319446200); Begg, Katheryn A. G. (57210105480); Schiavoni, Federica (57558400600); Amin, Noa (59655952600); Zenke, Frank T. (6602791006); Melcher, Alan A. (7005662064); Choudhary, Jyoti S. (7003922280); Downs, Jessica A. (7102228834)","57208678943; 56891411300; 57414976600; 25121911600; 57195294950; 55319446200; 57210105480; 57558400600; 59655952600; 6602791006; 7005662064; 7003922280; 7102228834","PBRM1 directs PBAF to pericentromeres and protects centromere integrity","2025","Nature Communications ","10.1038/s41467-025-57277-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218851077&doi=10.1038%2fs41467-025-57277-9&partnerID=40&md5=bd84f32e146fa394c9074355ef92cfa0","20411723","","","40011561","2-s2.0-85218851077"
"Zhao M.; Jankovic D.; Link V.M.; Souza C.O.S.; Hornick K.M.; Oyesola O.; Belkaid Y.; Lack J.; Loke P.","Zhao, Mingming (57204168448); Jankovic, Dragana (7006385070); Link, Verena M. (56481458700); Souza, Camila Oliveira Silva (57214418372); Hornick, Katherine M. (57192658023); Oyesola, Oyebola (57203940233); Belkaid, Yasmine (6701726927); Lack, Justin (24776280000); Loke, Png (36794992600)","57204168448; 7006385070; 56481458700; 57214418372; 57192658023; 57203940233; 6701726927; 24776280000; 36794992600","Genetic variation in IL-4 activated tissue resident macrophages determines strain-specific synergistic responses to LPS epigenetically","2025","Nature Communications ","10.1038/s41467-025-56379-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217002031&doi=10.1038%2fs41467-025-56379-8&partnerID=40&md5=8ce7a6627aaa0983318c6db1b423fc2c","20411723","","","39863579","2-s2.0-85217002031"
"Lorzadeh A.; Ye G.; Sharma S.; Jadhav U.","Lorzadeh, Alireza (55965528000); Ye, George (58165531100); Sharma, Sweta (58946733000); Jadhav, Unmesh (8256184000)","55965528000; 58165531100; 58946733000; 8256184000","Motif distribution and DNA methylation underlie distinct Cdx2 binding during development and homeostasis","2025","Nature Communications ","10.1038/s41467-025-56187-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216607836&doi=10.1038%2fs41467-025-56187-0&partnerID=40&md5=1f75eb354669c4c2634449af0a38dc26","20411723","","","39843425","2-s2.0-85216607836"
"Li J.; Xu S.; Liu Z.; Yang L.; Ming Z.; Zhang R.; Zhao W.; Peng H.; Quinn J.J.; Wu M.; Geng Y.; Zhang Y.; He J.; Chen M.; Li N.; Shao N.-Y.; Ma Q.","Li, Jianjian (57327723800); Xu, Shuyang (59859463400); Liu, Zicong (57681101800); Yang, Liuyi (57327439000); Ming, Zhe (57701143500); Zhang, Rui (59298412500); Zhao, Wenjuan (57248703000); Peng, Huipai (57223215547); Quinn, Jeffrey J. (59860382700); Wu, Manyin (57328012100); Geng, Yushan (59499109300); Zhang, Yuying (59498081500); He, Jiazhi (59499282700); Chen, Minghai (59612472300); Li, Nan (57220081115); Shao, Ning-Yi (55761739000); Ma, Qing (57198824201)","57327723800; 59859463400; 57681101800; 57327439000; 57701143500; 59298412500; 57248703000; 57223215547; 59860382700; 57328012100; 59499109300; 59498081500; 59499282700; 59612472300; 57220081115; 55761739000; 57198824201","A noncanonical role of roX RNAs in autosomal epigenetic repression","2025","Nature Communications ","10.1038/s41467-024-55711-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213957316&doi=10.1038%2fs41467-024-55711-y&partnerID=40&md5=a7394965252d62fca98d7bba2be86ee2","20411723","","","39747148","2-s2.0-85213957316"
"Tripathi A.; Singh D.; Bhati J.; Singh D.; Taunk J.; Alkahtani J.; Al-Hashimi A.; Singh M.P.","Tripathi, Ankita (57215205112); Singh, Dharmendra (57214416586); Bhati, Jyotika (36551129200); Singh, Deepti (57217456604); Taunk, Jyoti (55290752400); Alkahtani, Jawaher (58161646900); Al-Hashimi, Abdulrahman (57221086244); Singh, Madan Pal (8088943100)","57215205112; 57214416586; 36551129200; 57217456604; 55290752400; 58161646900; 57221086244; 8088943100","Genome wide identification of MATE and ALMT gene family in lentil (Lens culinaris Medikus) and expression profiling under Al stress condition","2025","BMC Plant Biology","10.1186/s12870-025-06086-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216608094&doi=10.1186%2fs12870-025-06086-9&partnerID=40&md5=047ef0bff9b53fcaa4028f71fa6b6d21","14712229","","","39844062","2-s2.0-85216608094"
"Freitas-Cortez M.A.; Masrorpour F.; Jiang H.; Mahmud I.; Lu Y.; Huang A.; Duong L.K.; Wang Q.; Voss T.A.; Kettlun Leyton C.S.; Wei B.; Chan W.-K.; Lin K.; Zhang J.; Tsouko E.; Ganjoo S.; Barsoumian H.B.; Riad T.S.; Hu Y.; Leuschner C.; Puebla-Osorio N.; Wang J.; Hu J.; Davies M.A.; Puduvalli V.K.; Billon C.; Burris T.P.; Lorenzi P.L.; Gan B.; Welsh J.W.","Freitas-Cortez, Maria Angelica (59558862800); Masrorpour, Fatemeh (55359721700); Jiang, Hong (55492278000); Mahmud, Iqbal (56566412800); Lu, Yue (55414269300); Huang, Ailing (57970746400); Duong, Lisa K. (57954844600); Wang, Qi (57218083892); Voss, Tiffany A. (57390986500); Kettlun Leyton, Claudia S. (57801649900); Wei, Bo (57218549022); Chan, Wai-Kin (54680505500); Lin, Kevin (55272706800); Zhang, Jie (55172145500); Tsouko, Efrosini (55342730000); Ganjoo, Shonik (57956417900); Barsoumian, Hampartsoum B. (57194264458); Riad, Thomas S. (58244425700); Hu, Yun (57214953365); Leuschner, Carola (7003504650); Puebla-Osorio, Nahum (13411164800); Wang, Jing (55324093700); Hu, Jian (36975515800); Davies, Michael A. (7404207107); Puduvalli, Vinay K. (35446040600); Billon, Cyrielle (36672435100); Burris, Thomas P. (7005400348); Lorenzi, Philip L. (57208265978); Gan, Boyi (8714612600); Welsh, James W. (54968491800)","59558862800; 55359721700; 55492278000; 56566412800; 55414269300; 57970746400; 57954844600; 57218083892; 57390986500; 57801649900; 57218549022; 54680505500; 55272706800; 55172145500; 55342730000; 57956417900; 57194264458; 58244425700; 57214953365; 7003504650; 13411164800; 55324093700; 36975515800; 7404207107; 35446040600; 36672435100; 7005400348; 57208265978; 8714612600; 54968491800","Cancer cells avoid ferroptosis induced by immune cells via fatty acid binding proteins","2025","Molecular Cancer","10.1186/s12943-024-02198-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217841746&doi=10.1186%2fs12943-024-02198-2&partnerID=40&md5=bfe46649c3b5a95a041a3b3afbfa636a","14764598","","MCOAC","39901247","2-s2.0-85217841746"
"Dhanaraju R.; Samson R.Y.; Feng X.; Costa A.; Gonzalez-Gutierrez G.; Bell S.D.","Dhanaraju, Rajkumar (55430087000); Samson, Rachel Y. (26027652300); Feng, Xu (55558011900); Costa, Alessandro (7401876385); Gonzalez-Gutierrez, Giovanni (57225294402); Bell, Stephen D. (56144908700)","55430087000; 26027652300; 55558011900; 7401876385; 57225294402; 56144908700","An archaeal nucleoid-associated protein binds an essential motif in DNA replication origins","2025","Nature Communications ","10.1038/s41467-025-60618-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007526257&doi=10.1038%2fs41467-025-60618-3&partnerID=40&md5=dc465d8be7da336df4d0cd7b6267b2e2","20411723","","","40473630","2-s2.0-105007526257"
