"Authors","Author full names","Author(s) ID","Title","Year","Source title","DOI","Link","ISSN","ISBN","CODEN","PubMed ID","EID"
"Arora V.; Sanguinetti G.","Arora, Viplove (57191075364); Sanguinetti, Guido (7004022389)","57191075364; 7004022389","De novo prediction of RNA–protein interactions with graph neural networks","2022","RNA","10.1261/rna.079365.122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140933258&doi=10.1261%2frna.079365.122&partnerID=40&md5=2132a79c1fd123da27f399e585876803","13558382","","RNARF","36008134","2-s2.0-85140933258"
"Wu H.; Liu X.; Fang Y.; Yang Y.; Huang Y.; Pan X.; Shen H.-B.","Wu, Hehe (57389126400); Liu, Xiaojian (58904635700); Fang, Yi (57220482872); Yang, Yang (56151669300); Huang, Yan (57862660900); Pan, Xiaoyong (35273382000); Shen, Hong-Bin (8964541700)","57389126400; 58904635700; 57220482872; 56151669300; 57862660900; 35273382000; 8964541700","Decoding protein binding landscape on circular RNAs with base-resolution transformer models","2024","Computers in Biology and Medicine","10.1016/j.compbiomed.2024.108175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185882805&doi=10.1016%2fj.compbiomed.2024.108175&partnerID=40&md5=c44a4bebf15637ff4acae9cc66fa0d79","00104825","","CBMDA","38402841","2-s2.0-85185882805"
"Wang W.; Sun Z.; Liu D.; Zhang H.; Li J.; Wang X.; Zhou Y.","Wang, Wei (56948696300); Sun, Zhenxi (58893783700); Liu, Dong (57137019800); Zhang, Hongjun (57194513640); Li, Juntao (55720655200); Wang, Xianfang (24081857500); Zhou, Yun (57668167200)","56948696300; 58893783700; 57137019800; 57194513640; 55720655200; 24081857500; 57668167200","MAHyNet: Parallel Hybrid Network for RNA-Protein Binding Sites Prediction Based on Multi-Head Attention and Expectation Pooling","2024","IEEE/ACM Transactions on Computational Biology and Bioinformatics","10.1109/TCBB.2024.3366545","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185375275&doi=10.1109%2fTCBB.2024.3366545&partnerID=40&md5=7d85741d47780fc9882d8092beac5379","15455963","","","38363672","2-s2.0-85185375275"
"Chandrashekar K.; Niranjan V.; Vishal A.; Setlur A.S.","Chandrashekar, K. (57408377500); Niranjan, Vidya (6603234656); Vishal, Adarsh (58260547900); Setlur, Anagha S. (57193269169)","57408377500; 6603234656; 58260547900; 57193269169","Integration of Artificial Intelligence, Machine Learning and Deep Learning Techniques in Genomics: Review on Computational Perspectives for NGS Analysis of DNA and RNA Seq Data","2024","Current Bioinformatics","10.2174/0115748936284044240108074937","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201714685&doi=10.2174%2f0115748936284044240108074937&partnerID=40&md5=613b0720c44818a83c3444ed467b90dd","15748936","","","","2-s2.0-85201714685"
"Shen X.; Hou Y.; Wang X.; Zhang C.; Liu J.; Shen H.; Wang W.; Yang Y.; Yang M.; Li Y.; Zhang J.; Sun Y.; Chen K.; Shi L.; Li X.","Shen, Xilin (57273379600); Hou, Yayan (59624911700); Wang, Xueer (57214891247); Zhang, Chunyong (58527636200); Liu, Jilei (57272402300); Shen, Hongru (57226767826); Wang, Wei (57221936760); Yang, Yichen (57195360224); Yang, Meng (57210466894); Li, Yang (57191037850); Zhang, Jin (59262159600); Sun, Yan (56204222400); Chen, Kexin (57216428242); Shi, Lei (56313108100); Li, Xiangchun (57223840196)","57273379600; 59624911700; 57214891247; 58527636200; 57272402300; 57226767826; 57221936760; 57195360224; 57210466894; 57191037850; 59262159600; 56204222400; 57216428242; 56313108100; 57223840196","A deep learning model for characterizing protein-RNA interactions from sequences at single-base resolution","2025","Patterns","10.1016/j.patter.2024.101150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214323769&doi=10.1016%2fj.patter.2024.101150&partnerID=40&md5=a68f8014a477887f39a5550bb3989760","26663899","","","","2-s2.0-85214323769"
"Huang T.; Song Z.; Ying R.; Jin W.","Huang, Tinglin (57697014600); Song, Zhenqiao (59276443100); Ying, Rex (57190049577); Jin, Wengong (57202054890)","57697014600; 59276443100; 57190049577; 57202054890","Protein-Nucleic Acid Complex Modeling with Frame Averaging Transformer","2024","Advances in Neural Information Processing Systems","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000468710&partnerID=40&md5=1cf4ece852318affc3e409d42e00fb89","10495258","","","","2-s2.0-105000468710"
"Bhandari N.; Walambe R.; Kotecha K.; Khare S.P.","Bhandari, Nikita (57222143123); Walambe, Rahee (35340015600); Kotecha, Ketan (6506676097); Khare, Satyajeet P. (37112526500)","57222143123; 35340015600; 6506676097; 37112526500","A comprehensive survey on computational learning methods for analysis of gene expression data","2022","Frontiers in Molecular Biosciences","10.3389/fmolb.2022.907150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142917274&doi=10.3389%2ffmolb.2022.907150&partnerID=40&md5=fb39547c9ff62c5c6b651913d9410ddc","2296889X","","","","2-s2.0-85142917274"
"Schmerer N.; Janga H.; Aillaud M.; Hoffmann J.; Aznaourova M.; Wende S.; Steding H.; Halder L.D.; Uhl M.; Boldt F.; Stiewe T.; Nist A.; Jerrentrup L.; Kirschbaum A.; Ruppert C.; Rossbach O.; Ntini E.; Marsico A.; Valasarajan C.; Backofen R.; Linne U.; Pullamsetti S.S.; Schmeck B.; Schulte L.N.","Schmerer, Nils (57216431483); Janga, Harshavardhan (57195724636); Aillaud, Michelle (57220932681); Hoffmann, Janina (59905167100); Aznaourova, Marina (57193238229); Wende, Sarah (59906029800); Steding, Henrike (59905292500); Halder, Luke D. (38861591100); Uhl, Michael (56720964700); Boldt, Fabian (57200701744); Stiewe, Thorsten (6602734956); Nist, Andrea (41361642700); Jerrentrup, Lukas (25930428600); Kirschbaum, Andreas (14822350400); Ruppert, Clemens (7004146584); Rossbach, Oliver (26421757200); Ntini, Evgenia (37011372400); Marsico, Annalisa (15045028100); Valasarajan, Chanil (57194708795); Backofen, Rolf (6604065270); Linne, Uwe (6602656942); Pullamsetti, Soni S. (8866490900); Schmeck, Bernd (6603354847); Schulte, Leon N. (36968628800)","57216431483; 57195724636; 57220932681; 59905167100; 57193238229; 59906029800; 59905292500; 38861591100; 56720964700; 57200701744; 6602734956; 41361642700; 25930428600; 14822350400; 7004146584; 26421757200; 37011372400; 15045028100; 57194708795; 6604065270; 6602656942; 8866490900; 6603354847; 36968628800","A searchable atlas of pathogen-sensitive lncRNA networks in human macrophages","2025","Nature Communications ","10.1038/s41467-025-60084-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005575164&doi=10.1038%2fs41467-025-60084-x&partnerID=40&md5=885772dcca6a3c037b41ff72211f819c","20411723","","","40399309","2-s2.0-105005575164"
"Horlacher M.; Cantini G.; Hesse J.; Schinke P.; Goedert N.; Londhe S.; Moyon L.; Marsico A.","Horlacher, Marc (57420894200); Cantini, Giulia (58176942600); Hesse, Julian (58177365300); Schinke, Patrick (58088647300); Goedert, Nicolas (57947381500); Londhe, Shubhankar (58177153000); Moyon, Lambert (57222307284); Marsico, Annalisa (15045028100)","57420894200; 58176942600; 58177365300; 58088647300; 57947381500; 58177153000; 57222307284; 15045028100","A systematic benchmark of machine learning methods for protein-RNA interaction prediction","2023","Briefings in Bioinformatics","10.1093/bib/bbad307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172423930&doi=10.1093%2fbib%2fbbad307&partnerID=40&md5=351e106e710b69994705f7400b9c7334","14675463","","","37635383","2-s2.0-85172423930"
"Rennie S.","Rennie, Sarah (56095390000)","56095390000","Deep Learning for Elucidating Modifications to RNA—Status and Challenges Ahead","2024","Genes","10.3390/genes15050629","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194219032&doi=10.3390%2fgenes15050629&partnerID=40&md5=fadd2eaffd6d514df8185b33cb6bc21b","20734425","","","38790258","2-s2.0-85194219032"
